,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
36,2.61E-05,99.996666,99.12,1.29E-05,99.99834,99.34,7.44E-06,100,99.31,4.83E-06,100,99.44,3.48E-06,100,99.48,4.02E-05,99.98,99.05,2.01E-05,99.995,99.26,1.06E-05,99.99834,99.45,6.78E-06,100,99.36,4.62E-06,100,99.39,4.02E-05,99.965,99.24,1.62E-05,99.996666,99.41,7.29E-06,100,99.41,4.66E-06,100,99.47,2.80E-06,100,99.43
37,2.54E-05,99.996666,99.1,1.27E-05,99.99834,99.33,7.42E-06,100,99.31,4.75E-06,100,99.43,3.46E-06,100,99.47,3.90E-05,99.98334,99.07,1.98E-05,99.99834,99.24,1.03E-05,99.99834,99.41,6.57E-06,100,99.34,4.56E-06,100,99.41,3.92E-05,99.97667,99.28,1.57E-05,99.99834,99.43,7.30E-06,100,99.46,4.67E-06,100,99.46,2.82E-06,100,99.45
38,2.53E-05,99.996666,99.07,1.24E-05,99.99834,99.31,7.39E-06,100,99.3,4.78E-06,100,99.44,3.48E-06,100,99.45,3.80E-05,99.986664,99.09,1.95E-05,99.99834,99.24,1.02E-05,100,99.43,6.60E-06,100,99.34,4.58E-06,100,99.39,3.75E-05,99.97167,99.22,1.58E-05,99.996666,99.43,7.14E-06,100,99.47,4.63E-06,100,99.45,2.88E-06,100,99.46
39,2.49E-05,99.99834,99.14,1.24E-05,99.99834,99.34,7.33E-06,100,99.31,4.75E-06,100,99.46,3.48E-06,100,99.47,3.68E-05,99.98334,99.09,1.88E-05,99.99834,99.25,1.02E-05,100,99.42,6.46E-06,100,99.31,4.63E-06,100,99.39,3.67E-05,99.98334,99.26,1.53E-05,99.996666,99.43,7.15E-06,100,99.44,4.55E-06,100,99.45,2.83E-06,100,99.42
40,2.43E-05,99.99834,99.08,1.22E-05,99.99834,99.33,7.17E-06,100,99.33,4.75E-06,100,99.45,3.44E-06,100,99.45,3.62E-05,99.986664,99.02,1.84E-05,99.99834,99.21,1.02E-05,100,99.46,6.55E-06,100,99.34,4.59E-06,100,99.38,3.59E-05,99.975,99.22,1.48E-05,99.99834,99.43,7.08E-06,100,99.51,4.57E-06,100,99.48,2.81E-06,100,99.43
41,2.42E-05,99.996666,99.12,1.22E-05,99.99834,99.35,7.18E-06,100,99.34,4.65E-06,100,99.44,3.52E-06,100,99.49,3.54E-05,99.986664,99.11,1.82E-05,99.99834,99.23,1.00E-05,100,99.45,6.48E-06,100,99.34,4.52E-06,100,99.39,3.52E-05,99.98167,99.26,1.49E-05,99.996666,99.41,7.10E-06,100,99.47,4.68E-06,100,99.47,2.81E-06,100,99.44
42,2.34E-05,99.99834,99.12,1.21E-05,99.99834,99.33,7.08E-06,100,99.33,4.73E-06,100,99.43,3.48E-06,100,99.47,3.49E-05,99.988335,99.08,1.79E-05,99.99834,99.24,9.95E-06,100,99.43,6.38E-06,100,99.35,4.51E-06,100,99.39,3.43E-05,99.98334,99.24,1.44E-05,99.99834,99.4,7.07E-06,100,99.43,4.59E-06,100,99.49,2.82E-06,100,99.42
43,2.34E-05,99.99834,99.14,1.19E-05,99.99834,99.32,7.08E-06,100,99.34,4.70E-06,100,99.45,3.42E-06,100,99.48,3.43E-05,99.986664,99.09,1.76E-05,99.99834,99.23,9.89E-06,100,99.43,6.43E-06,100,99.36,4.53E-06,100,99.39,3.40E-05,99.988335,99.26,1.43E-05,99.99834,99.4,6.95E-06,100,99.45,4.64E-06,100,99.52,2.79E-06,100,99.44
44,2.28E-05,99.99834,99.12,1.18E-05,100,99.3,7.18E-06,100,99.33,4.72E-06,100,99.44,3.43E-06,100,99.46,3.35E-05,99.99167,99.14,1.75E-05,99.99834,99.25,9.89E-06,100,99.43,6.32E-06,100,99.31,4.49E-06,100,99.38,3.30E-05,99.988335,99.23,1.39E-05,99.99834,99.44,6.98E-06,100,99.45,4.50E-06,100,99.45,2.77E-06,100,99.45
45,2.30E-05,99.99834,99.16,1.16E-05,100,99.32,7.06E-06,100,99.37,4.63E-06,100,99.47,3.43E-06,100,99.47,3.27E-05,99.986664,99.12,1.73E-05,99.99834,99.24,9.73E-06,100,99.45,6.32E-06,100,99.33,4.53E-06,100,99.41,3.29E-05,99.98167,99.22,1.50E-05,99.996666,99.39,6.86E-06,100,99.47,4.44E-06,100,99.43,2.81E-06,100,99.45
46,2.26E-05,99.996666,99.1,1.18E-05,100,99.31,7.11E-06,100,99.32,4.64E-06,100,99.47,3.43E-06,100,99.5,3.22E-05,99.99167,99.13,1.68E-05,99.99834,99.25,9.66E-06,100,99.46,6.31E-06,100,99.35,4.50E-06,100,99.4,3.22E-05,99.98334,99.26,1.43E-05,99.99834,99.43,6.83E-06,100,99.43,4.50E-06,100,99.45,2.76E-06,100,99.45
47,2.24E-05,99.99834,99.08,1.15E-05,100,99.33,7.10E-06,100,99.33,4.62E-06,100,99.45,3.41E-06,100,99.47,3.16E-05,99.995,99.13,1.67E-05,99.99834,99.18,9.55E-06,100,99.42,6.26E-06,100,99.32,4.49E-06,100,99.39,3.15E-05,99.99,99.22,1.38E-05,99.99834,99.44,6.93E-06,100,99.46,4.49E-06,100,99.47,2.75E-06,100,99.46
48,2.21E-05,99.99834,99.17,1.16E-05,100,99.3,7.04E-06,100,99.33,4.64E-06,100,99.45,3.40E-06,100,99.47,3.11E-05,99.99167,99.14,1.65E-05,99.99834,99.21,9.74E-06,100,99.45,6.23E-06,100,99.35,4.47E-06,100,99.39,3.13E-05,99.99,99.29,1.38E-05,99.996666,99.42,6.85E-06,100,99.47,4.51E-06,100,99.47,2.76E-06,100,99.44
49,2.22E-05,99.99834,99.09,1.15E-05,100,99.38,7.07E-06,100,99.33,4.60E-06,100,99.47,3.42E-06,100,99.5,3.07E-05,99.99334,99.09,1.66E-05,99.99834,99.29,9.56E-06,100,99.48,6.27E-06,100,99.33,4.46E-06,100,99.39,3.07E-05,99.99334,99.23,1.39E-05,99.99834,99.44,6.97E-06,100,99.43,4.51E-06,100,99.47,2.76E-06,100,99.44
