,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
23,8.92E-05,99.96334,92.55,2.30E-05,100,92.88,1.14E-05,100,92.55,6.75E-06,100,93.02,4.25E-06,100,92.75,0.000218794,99.53,92.41,5.43E-05,99.996666,92.29,1.86E-05,100,92.56,1.01E-05,100,92.59,6.32E-06,100,92.3,0.000236236,99.42833,92.82,4.76E-05,99.99167,92.91,1.50E-05,100,92.36,6.29E-06,100,92.79,2.63E-06,100,92.82
24,7.89E-05,99.975,92.57,2.22E-05,100,93.04,1.11E-05,100,92.67,6.75E-06,100,92.93,4.26E-06,100,92.82,0.000187263,99.69666,92.27,4.81E-05,99.99834,92.45,1.80E-05,100,92.46,9.96E-06,100,92.56,6.31E-06,100,92.35,0.000200036,99.613335,92.66,4.02E-05,100,92.74,1.45E-05,100,92.37,6.21E-06,100,92.68,2.63E-06,100,92.83
25,7.06E-05,99.98167,92.6,2.10E-05,100,92.88,1.09E-05,100,92.62,6.59E-06,100,93.01,4.26E-06,100,92.77,0.000159369,99.815,92.28,4.27E-05,99.99834,92.34,1.74E-05,100,92.45,9.82E-06,100,92.54,6.28E-06,100,92.32,0.000174797,99.675,92.69,3.70E-05,99.99834,92.76,1.40E-05,100,92.35,6.24E-06,100,92.71,2.63E-06,100,92.93
26,6.31E-05,99.988335,92.65,2.04E-05,100,92.92,1.08E-05,100,92.64,6.61E-06,100,92.98,4.26E-06,100,92.8,0.000143879,99.825,92.23,3.91E-05,100,92.47,1.68E-05,100,92.5,9.74E-06,100,92.55,6.25E-06,100,92.35,0.000149727,99.805,92.63,3.39E-05,99.99834,92.88,1.37E-05,100,92.36,6.17E-06,100,92.69,2.65E-06,100,92.92
27,5.95E-05,99.99334,92.65,1.98E-05,100,93.06,1.07E-05,100,92.59,6.57E-06,100,92.98,4.27E-06,100,92.82,0.000128685,99.86667,92.4,3.71E-05,100,92.4,1.65E-05,100,92.53,9.48E-06,100,92.51,6.25E-06,100,92.31,0.000131371,99.863335,92.68,3.19E-05,100,92.82,1.33E-05,100,92.3,6.27E-06,100,92.72,2.70E-06,100,92.95
28,5.42E-05,100,92.71,1.94E-05,100,92.92,1.05E-05,100,92.6,6.60E-06,100,92.95,4.34E-06,100,92.81,0.000111655,99.925,92.56,3.47E-05,100,92.39,1.61E-05,100,92.55,9.49E-06,100,92.54,6.26E-06,100,92.39,0.000113504,99.90833,92.79,3.02E-05,100,92.68,1.31E-05,100,92.31,6.18E-06,100,92.76,2.73E-06,100,92.93
29,5.08E-05,100,92.65,1.89E-05,100,92.97,1.04E-05,100,92.69,6.55E-06,100,93.02,4.33E-06,100,92.81,0.000104269,99.93167,92.42,3.31E-05,100,92.43,1.57E-05,100,92.45,9.36E-06,100,92.5,6.20E-06,100,92.37,0.000101453,99.92667,92.7,2.84E-05,100,92.8,1.29E-05,100,92.44,6.30E-06,100,92.7,2.84E-06,100,92.96
30,4.78E-05,100,92.68,1.85E-05,100,92.99,1.03E-05,100,92.67,6.56E-06,100,92.99,4.37E-06,100,92.8,9.23E-05,99.96334,92.42,3.12E-05,100,92.42,1.56E-05,100,92.4,9.33E-06,100,92.48,6.26E-06,100,92.35,9.14E-05,99.94666,92.77,2.72E-05,100,92.74,1.27E-05,100,92.39,6.33E-06,100,92.74,2.88E-06,100,92.93
31,4.51E-05,99.99834,92.71,1.80E-05,100,93.07,1.03E-05,100,92.66,6.51E-06,100,93.04,4.38E-06,100,92.78,8.52E-05,99.96167,92.37,3.01E-05,100,92.47,1.53E-05,100,92.49,9.25E-06,100,92.53,6.25E-06,100,92.39,8.20E-05,99.97167,92.71,2.63E-05,100,92.81,1.27E-05,100,92.38,6.29E-06,100,92.82,2.92E-06,100,93.01
32,4.32E-05,100,92.6,1.79E-05,100,92.95,1.02E-05,100,92.67,6.51E-06,100,93,4.40E-06,100,92.78,7.78E-05,99.98167,92.45,2.94E-05,100,92.43,1.51E-05,100,92.46,9.29E-06,100,92.54,6.26E-06,100,92.37,7.58E-05,99.97167,92.74,2.57E-05,100,92.82,1.26E-05,100,92.31,6.37E-06,100,92.73,2.96E-06,100,92.98
33,4.19E-05,100,92.66,1.77E-05,100,93.02,1.01E-05,100,92.68,6.53E-06,100,93.01,4.45E-06,100,92.8,7.31E-05,99.98,92.39,2.83E-05,100,92.45,1.50E-05,100,92.48,9.33E-06,100,92.51,6.24E-06,100,92.41,6.86E-05,99.988335,92.67,2.50E-05,100,92.83,1.24E-05,100,92.4,6.44E-06,100,92.78,3.08E-06,100,93
34,3.98E-05,100,92.7,1.72E-05,100,92.93,1.01E-05,100,92.68,6.55E-06,100,92.98,4.46E-06,100,92.82,6.82E-05,99.988335,92.44,2.82E-05,99.99834,92.33,1.48E-05,100,92.43,9.20E-06,100,92.56,6.25E-06,100,92.44,6.41E-05,99.97667,92.84,2.41E-05,100,92.82,1.23E-05,100,92.38,6.41E-06,100,92.85,3.13E-06,100,92.93
35,3.87E-05,100,92.71,1.71E-05,100,92.87,1.00E-05,100,92.61,6.50E-06,100,93,4.46E-06,100,92.79,6.42E-05,99.99167,92.48,2.71E-05,100,92.41,1.49E-05,100,92.43,9.19E-06,100,92.57,6.29E-06,100,92.33,6.00E-05,99.995,92.65,2.36E-05,100,92.81,1.23E-05,100,92.38,6.49E-06,100,92.76,3.22E-06,100,92.95
36,3.73E-05,100,92.78,1.71E-05,100,93.09,1.00E-05,100,92.59,6.47E-06,100,92.94,4.48E-06,100,92.84,6.08E-05,99.99167,92.53,2.62E-05,100,92.47,1.47E-05,100,92.42,9.15E-06,100,92.56,6.33E-06,100,92.42,5.70E-05,99.99834,92.69,2.36E-05,100,92.83,1.24E-05,100,92.37,6.58E-06,100,92.86,3.28E-06,100,93.01
37,3.67E-05,100,92.74,1.67E-05,100,92.95,1.00E-05,100,92.67,6.53E-06,100,92.99,4.49E-06,100,92.85,5.85E-05,99.996666,92.44,2.61E-05,100,92.3,1.46E-05,100,92.32,9.17E-06,100,92.54,6.26E-06,100,92.38,5.43E-05,99.996666,92.83,2.31E-05,100,92.87,1.23E-05,100,92.35,6.60E-06,100,92.81,3.33E-06,100,92.99
